,senti,sentence
433,0,dear applecongratulations i am suing my insurance company and you just managed to make it to the top of my shit list ineedthosepictures
434,0,dear you must let me turn off icloud to save bandwidth and not delete every document on my ipad that s bullshit
435,0,rt joelburns dear its me again thank for beautiful new features but i miss some of the old ones lk making calls   textsgt
436,0,by far the worst experience upgrading out of any version of
437,0,what happened rt xcuntnuggetx never purchasing another item from
438,0,never purchasing another item from
439,0,rt leiboaz wow worst customer service experience ever arrogant and inept bad combo biltmore store
440,0,wow worst customer service experience ever arrogant and inept bad combo biltmore store
441,0,hey guys at wtf is happening to with suddenly fade to black and begin to vibrate continuously i had to reboot it
442,0,hbogo   why do nt you play nice and let me use hdmi from ipad   pretty lame
443,0,warning if apps spontaneously loose data it might not be the apps fault   httptcosesvwwm iosdowngrade marcoarment
444,0,and only the first   images in my photo roll made it over seriously how did you fuck this up so much
445,0,why does plus equal half the battery life
446,0,why is nt my itunes updating i just wanna update my to then itunes says that it needs to update to do it then fails
447,0,now wo nt let me use credit on itunes unless i have a credit card should have told me when i redeemed the cards sound fair to you
448,0,amandbrar has worked for me less than   of the time if service does nt improve by monday i m returning my s
449,0,azrael rt davidegori and again mobileme is down issues when syncing accessing mail is this a good premise for icloud
450,0,need help installing new on and am stuck on the find my screen   i keep clicking next but it does nt work
451,0,bummer that icloud syncs on windows only w outlook not thunderbird   ie not firefox chrome sadmac
452,0,disappointing visual merchandising simple but lacks elegance and sequence does nt even tell us about httptcoxvqgfi
453,0,has been on terminal hold with support   she must not be the only person having trouble with the new and synching
454,0,thanks for   and losing all my contacts
455,0,give me my apps back
456,0,nonstop dropped callsmute button randomly activatingperson ca nt hear me pull phone from ear to be on a mobile me screen
457,0,rt tomcolontonio did nt it occur to that ppl share itunes accounts amongst familys wtf
458,0,tomcolontonio epicfail
459,0,  minutes after being at   my   post upgrade has lost   of its charge and the store folks are out of ideas
460,0,so cutting the cord makes podcasts even harder to manage no subscriptions wth httptcoldix via carrypad
461,0,in less than an hour my post has gone from   to   battery charge and the store folks have no solution for me
462,0,well seems b screwing s resellars they still do nt have s yet were promised similar   ma bells monopolistic prctices
463,0,also ericgreenspan do nt forget stop closing the app store after each bloody purchase
464,0,cu
465,0,sigh store seems stumped what to do about my catastrophically bad battery life after upgrading to
466,0,hmmmm a lot of features do nt work in canada location and directions seriously come on
467,0,ca nt connect to the network   its less useful that voicecontrol now
468,0,took my and made it exclusive to s   sorude
469,0,total time on the phone with   hour   minutes lets see how this goes
470,0,waited in line for nothing fucking genius called an app for john not jean stop fucking up my name i m not a french boy pcam
471,0,dear one day you re going to release a version of itunes that does nt freeze more often than it works one day
472,0,its been hrs since i reported ups theft of my and has done nothing no return call as promised nothing
473,0,this does not bode well after charging all night my s has   battery after only hr off charger with no calls   light use
474,0,houston we have a problem my ipad has been restoring for   hours after installing this ca nt be right
475,0,went down for a little while last night come on get your shit together on this launch
476,0,ford should have teamed up with instead of microsoft to make this sync system in my new focus car is sweet sync is epicfail
477,0,rt gdcurry really   what have you done to my itunes now   i ca nt click on music movies tv shows or any playlists i get a l
478,0,damn you  
